county,population,number_of_households,average_household_size,farming,tea,coffee,avocado,citrus,mango,coconut,macadamia,cashew_nut,khat_miraa,male,female,intersex,total
mombasa,1190987,378422,3.1,12497,NA,NA,NA,NA,NA,1688,NA,602,NA,610257,598046,30,1208333
kwale,858748,173176,5,108074,NA,NA,1063,10053,30272,31954,881,22803,NA,425121,441681,18,866820
kilifi,1440958,298472,4.8,161188,NA,NA,NA,6808,37519,47561,NA,27940,NA,704089,749673,25,1453787
lamu,141909,37963,3.7,18678,NA,NA,NA,2742,7423,5017,189,8085,NA,76103,67813,4,143920
taita/taveta,335747,96429,3.5,56920,NA,NA,7963,3284,7171,2504,3650,543,NA,173337,167327,7,340671
garissa,835482,141394,5.9,47645,NA,NA,NA,NA,1726,NA,NA,NA,NA,458975,382344,34,841353
wajir,775302,127932,6.1,63433,NA,NA,NA,NA,NA,NA,NA,NA,NA,415374,365840,49,781263
mandera,862079,125763,6.9,62639,NA,NA,NA,NA,2685,NA,NA,NA,NA,434976,432444,37,867457
marsabit,447150,77495,5.8,39167,NA,NA,NA,NA,NA,NA,NA,NA,NA,243548,216219,18,459785
isiolo,267997,58072,4.6,24271,NA,NA,NA,NA,NA,NA,NA,NA,NA,139510,128483,9,268002
meru,1535635,426360,3.6,274865,30404,28195,41746,6255,27457,NA,29545,NA,85023,767698,777975,41,1545714
tharaka-nithi,391303,109860,3.6,85767,7227,15792,13171,1630,14102,NA,9280,NA,8404,193764,199406,7,393177
embu,604769,182743,3.3,130990,18664,28996,19355,3581,26771,NA,27488,NA,34900,304208,304367,24,608599
kitui,1130134,262942,4.3,215322,NA,NA,12066,7510,35471,NA,NA,NA,NA,549003,587151,33,1136187
machakos,1414022,402466,3.5,231341,NA,23525,45243,22797,75504,NA,6519,NA,NA,710707,711191,34,1421932
makueni,977015,244669,4,193531,NA,3371,34107,27006,70130,NA,4293,NA,NA,489691,497942,20,987653
nyandarua,636002,179686,3.5,140854,NA,NA,2892,1580,NA,NA,NA,NA,NA,315022,323247,20,638289
nyeri,752695,248050,3,164229,23300,57983,22810,2521,10228,NA,25436,NA,NA,374288,384845,31,759164
kirinyaga,605630,204188,3,139866,25135,47835,19691,2429,15311,NA,28508,NA,5821,302011,308369,31,610411
murang'a,1053059,318105,3.3,231400,43819,64533,52839,7210,38361,NA,35618,NA,NA,523940,532669,31,1056640
kiambu,2402834,795241,3,214052,20958,31152,31392,2160,9855,NA,11748,NA,NA,1187146,1230454,135,2417735
turkana,922210,164519,5.6,61209,NA,NA,NA,NA,NA,NA,NA,NA,NA,478087,448868,21,926976
samburu,307957,65910,4.7,43149,NA,NA,NA,NA,NA,NA,NA,NA,NA,156774,153546,7,310327
elgeyo/marakwet,453403,99861,4.5,74881,751,1390,5224,1632,6430,NA,518,NA,NA,227317,227151,12,454480
nandi,883634,199426,4.4,148887,37564,11044,29356,1202,5806,NA,NA,NA,NA,441259,444430,22,885711
baringo,662760,142518,4.7,100465,NA,3069,12372,2605,10600,NA,1673,NA,NA,336322,330428,13,666763
laikipia,513879,149271,3.4,90729,NA,NA,5273,2121,2103,NA,773,NA,NA,259440,259102,18,518560
nakuru,2142667,616046,3.5,283652,10041,NA,20209,4332,6560,NA,NA,NA,NA,1077272,1084835,95,2162202
narok,1149379,241125,4.8,181706,NA,NA,13430,1784,2332,NA,NA,NA,NA,579042,578805,26,1157873
kajiado,1107296,316179,3.5,97565,NA,NA,2994,NA,2776,NA,NA,NA,NA,557098,560704,38,1117840
kericho,896863,206036,4.4,150845,55837,24774,40748,2283,5588,NA,NA,NA,NA,450741,451008,28,901777
bomet,873023,187641,4.7,152564,50704,1940,44903,3298,3679,NA,NA,NA,NA,434287,441379,23,875689
kakamega,1861332,433207,4.3,335269,4644,2990,63886,4435,49075,NA,2292,NA,NA,897133,970406,40,1867579
vihiga,587189,143365,4.1,113753,11273,1717,34321,1233,26209,NA,NA,NA,NA,283678,306323,12,590013
bungoma,1663898,358796,4.6,280445,2047,37773,73765,5268,54581,NA,2428,NA,NA,812146,858389,35,1670570
busia,886856,198152,4.5,148257,NA,1498,27498,3616,35530,NA,1148,NA,NA,426252,467401,28,893681
siaya,989708,250698,3.9,194362,NA,NA,31729,7350,44660,NA,1262,NA,NA,471669,521496,18,993183
kisumu,1144777,300745,3.8,147117,NA,NA,19478,5265,28305,NA,NA,NA,NA,560942,594609,23,1155574
migori,1108950,240168,4.6,169958,NA,3864,33338,4444,27231,NA,1196,NA,NA,536187,580214,35,1116436
kisii,1260509,308054,4.1,219853,67394,53580,88326,3850,17144,NA,NA,NA,NA,605784,661038,38,1266860
nyamira,603051,150669,4,110028,62706,25936,43349,2020,3502,NA,NA,NA,NA,290907,314656,13,605576
